commentId,commentDesciption,userId,productID
1,it's ok,1,1
2,it's magnificent,3,2
3,it’s wonderful,1,3
4,it's amazing,2,4
5,it's terrific,3,5
6,it's fine,1,6
7,My dogs love it. They like the smell and if they accidentally drink some foamy water they are ok and do not get sick. Shampoo does work well and cleans white dogs quite well. Very good price for that bottle and its size too. [This review was collected as part of a promotion.],2,6
8,it's moderate,3,7
9,it works well,1,8
10,my pet loves it,2,9
